City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
229,Saldanha,-33.0117,17.9442,57.25,81,0,22.03,ZA,2022-04-02 00:53:28
230,Saint-Augustin,51.226,-58.6502,31.21,98,100,22.82,CA,2022-04-02 00:53:28
231,San Pedro,14.35,121.0167,85.32,68,75,6.91,PH,2022-04-02 00:53:29
232,Birjand,32.8663,59.2211,43.27,31,0,6.91,IR,2022-04-02 00:53:29
233,Otradnoye,59.7775,30.8181,28.45,97,58,2.91,RU,2022-04-02 00:53:29
234,Josanicka Banja,43.3895,20.7503,47.5,92,100,5.3,RS,2022-04-02 00:53:30
235,Manokwari,-0.8667,134.0833,82.27,78,100,8.19,ID,2022-04-02 00:52:41
236,Belmonte,-15.8631,-38.8828,77.65,81,7,6.02,BR,2022-04-02 00:53:30
237,Gizo,-8.103,156.8419,80.19,83,100,11.88,SB,2022-04-02 00:53:31
238,Bambous Virieux,-20.3428,57.7575,76.21,94,75,23.02,MU,2022-04-02 00:53:31
239,Esperance,-33.8667,121.9,66.04,57,11,14.14,AU,2022-04-02 00:51:28
240,Rurrenabaque,-14.4413,-67.5278,61.39,62,100,1.45,BO,2022-04-02 00:53:32
241,Tombouctou,20.0,-3.0,81.27,12,100,5.79,ML,2022-04-02 00:53:32
242,San Patricio,28.017,-97.5169,74.53,75,6,12.64,US,2022-04-02 00:51:17
243,Nampa,43.5407,-116.5635,59.18,28,0,4.61,US,2022-04-02 00:53:33
244,Havoysund,70.9963,24.6622,30.43,74,100,5.06,NO,2022-04-02 00:53:33
245,Sao Geraldo Do Araguaia,-6.4006,-48.555,73.47,96,100,1.28,BR,2022-04-02 00:53:34
246,Vila Velha,-20.3297,-40.2925,80.55,90,40,0.0,BR,2022-04-02 00:53:34
247,Moron,-34.6534,-58.6198,62.35,69,56,6.78,AR,2022-04-02 00:53:34
248,Quelimane,-17.8786,36.8883,76.95,94,40,0.0,MZ,2022-04-02 00:53:35
249,Kerema,-7.9631,145.7785,82.53,67,100,2.17,PG,2022-04-02 00:53:35
