City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,Jijiga,ET,9.35,42.8,67.71,47,100,5.79,overcast clouds
306,Qaqortoq,GL,60.7167,-46.0333,41.94,74,100,2.24,overcast clouds
307,Sorong,ID,-0.8833,131.25,78.03,87,100,5.5,overcast clouds
308,Panguipulli,CL,-39.6333,-72.3333,55.62,52,73,5.17,broken clouds
309,Khovu-Aksy,RU,51.1333,93.6,31.75,77,99,5.68,overcast clouds
310,Beloyarsk,RU,53.4461,83.9048,36.91,99,100,3.98,overcast clouds
311,Pangnirtung,CA,66.1451,-65.7125,29.48,89,100,4.16,overcast clouds
312,Sukumo,JP,32.9333,132.7333,46.74,84,1,5.03,clear sky
313,Mana,GF,5.6592,-53.7767,80.01,83,40,11.43,scattered clouds
314,Araguacu,BR,-12.9306,-49.8264,85.37,64,12,1.57,few clouds
315,Waycross,US,31.2136,-82.354,78.85,31,0,10.36,clear sky
316,Cayenne,GF,4.9333,-52.3333,82.09,1,75,10.36,light rain
317,Zhezkazgan,KZ,47.8043,67.7144,51.46,45,100,9.04,overcast clouds
318,Karaton,ID,-6.3424,106.1045,73.26,93,100,3.58,overcast clouds
319,Bud,US,39.447,-86.1758,59.49,41,4,11.05,clear sky
320,Shanghai,CN,31.2222,121.4581,49.93,65,0,4.0,clear sky
321,Sao Filipe,CV,14.8961,-24.4956,71.13,76,4,9.53,clear sky
322,Izhevskoye,RU,54.5567,40.8703,29.82,98,100,6.11,light snow
323,Bucerias,MX,20.75,-105.3333,76.98,65,0,13.8,clear sky
324,Hualmay,PE,-11.0964,-77.6139,73.51,75,17,10.54,few clouds
325,Mahanoro,MG,-19.9,48.8,73.53,92,38,6.91,scattered clouds
326,Wanning,CN,18.8003,110.3967,66.58,77,100,11.74,overcast clouds
327,Conceicao Da Barra,BR,-18.5933,-39.7322,80.24,72,0,6.53,clear sky
328,Northam,GB,51.0333,-4.2167,44.62,71,53,9.13,broken clouds
329,Asyut,EG,27.181,31.1837,80.42,11,98,5.55,overcast clouds
330,Uige,AO,-7.6087,15.0613,69.22,82,95,2.75,overcast clouds
331,Hofn,IS,64.2539,-15.2082,38.17,84,100,16.91,overcast clouds
332,Bonavista,CA,48.6499,-53.1147,36.57,85,100,13.51,overcast clouds
333,Chazuta,PE,-6.5742,-76.1367,88.65,55,93,2.21,overcast clouds
334,Hornepayne,CA,49.2138,-84.7705,32.76,91,100,6.02,overcast clouds
335,Karaikkudi,IN,10.0667,78.7833,82.2,72,39,5.66,scattered clouds
336,Lorengau,PG,-2.0226,147.2712,80.06,77,100,0.92,overcast clouds
337,Acarau,BR,-2.8856,-40.12,79.95,84,23,12.37,moderate rain
338,Phalaborwa,ZA,-23.943,31.1411,77.5,46,4,5.68,clear sky
339,Mezen,RU,65.8522,44.24,11.62,97,94,3.58,overcast clouds
340,Hagere Hiywet,ET,8.9833,37.85,66.56,45,98,10.96,overcast clouds
341,Cabo San Lucas,MX,22.8909,-109.9124,78.62,58,0,11.5,clear sky
342,Longyearbyen,SJ,78.2186,15.6401,8.44,52,20,21.85,few clouds
